,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",7:00p,,Box Score,,Chicago Bulls,L,,88,94,0,1,L 1,
1,2,"Sat, Oct 23, 2021",8:00p,,Box Score,@,Chicago Bulls,L,,82,97,0,2,L 2,
2,3,"Mon, Oct 25, 2021",7:30p,,Box Score,@,Atlanta Hawks,L,,104,122,0,3,L 3,
3,4,"Thu, Oct 28, 2021",7:00p,,Box Score,@,Philadelphia 76ers,L,,102,110,0,4,L 4,
4,5,"Sat, Oct 30, 2021",7:00p,,Box Score,,Orlando Magic,W,,110,103,1,4,W 1,
5,6,"Sun, Oct 31, 2021",7:30p,,Box Score,@,Brooklyn Nets,L,,91,117,1,5,L 1,
6,7,"Tue, Nov 2, 2021",7:00p,,Box Score,,Milwaukee Bucks,L,,89,117,1,6,L 2,
7,8,"Thu, Nov 4, 2021",7:00p,,Box Score,,Philadelphia 76ers,L,,98,109,1,7,L 3,
8,9,"Fri, Nov 5, 2021",7:00p,,Box Score,,Brooklyn Nets,L,,90,96,1,8,L 4,
9,10,"Wed, Nov 10, 2021",7:30p,,Box Score,@,Houston Rockets,W,,112,104,2,8,W 1,
10,11,"Fri, Nov 12, 2021",7:30p,,Box Score,@,Cleveland Cavaliers,L,,78,98,2,9,L 1,
11,12,"Sat, Nov 13, 2021",7:30p,,Box Score,@,Toronto Raptors,W,,127,121,3,9,W 1,
12,13,"Mon, Nov 15, 2021",7:00p,,Box Score,,Sacramento Kings,L,,107,129,3,10,L 1,
13,14,"Wed, Nov 17, 2021",7:00p,,Box Score,,Indiana Pacers,W,,97,89,4,10,W 1,
14,15,"Fri, Nov 19, 2021",7:00p,,Box Score,,Golden State Warriors,L,,102,105,4,11,L 1,
15,16,"Sun, Nov 21, 2021",6:00p,,Box Score,,Los Angeles Lakers,L,,116,121,4,12,L 2,
16,17,"Tue, Nov 23, 2021",7:00p,,Box Score,,Miami Heat,L,,92,100,4,13,L 3,
17,18,"Wed, Nov 24, 2021",8:00p,,Box Score,@,Milwaukee Bucks,L,,93,114,4,14,L 4,
18,19,"Fri, Nov 26, 2021",3:30p,,Box Score,@,Los Angeles Clippers,L,,96,107,4,15,L 5,
19,20,"Sun, Nov 28, 2021",9:30p,,Box Score,@,Los Angeles Lakers,L,,106,110,4,16,L 6,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Tue, Nov 30, 2021",10:00p,,Box Score,@,Portland Trail Blazers,L,,92,110,4,17,L 7,
22,22,"Thu, Dec 2, 2021",9:00p,,Box Score,@,Phoenix Suns,L,,103,114,4,18,L 8,
23,23,"Mon, Dec 6, 2021",7:00p,,Box Score,,Oklahoma City Thunder,L,,103,114,4,19,L 9,
24,24,"Wed, Dec 8, 2021",7:00p,,Box Score,,Washington Wizards,L,OT,116,119,4,20,L 10,
25,25,"Fri, Dec 10, 2021",8:00p,,Box Score,@,New Orleans Pelicans,L,,93,109,4,21,L 11,
26,26,"Sun, Dec 12, 2021",6:00p,,Box Score,,Brooklyn Nets,L,,104,116,4,22,L 12,
27,27,"Thu, Dec 16, 2021",7:00p,,Box Score,@,Indiana Pacers,L,,113,122,4,23,L 13,
28,28,"Sat, Dec 18, 2021",12:00p,,Box Score,,Houston Rockets,L,,107,116,4,24,L 14,
29,29,"Sun, Dec 19, 2021",6:00p,,Box Score,,Miami Heat,W,,100,90,5,24,W 1,
30,30,"Tue, Dec 21, 2021",7:30p,,Box Score,@,New York Knicks,L,,91,105,5,25,L 1,
31,31,"Thu, Dec 23, 2021",7:30p,,Box Score,@,Miami Heat,L,,112,115,5,26,L 2,
32,32,"Sun, Dec 26, 2021",7:00p,,Box Score,@,San Antonio Spurs,L,,109,144,5,27,L 3,
33,33,"Wed, Dec 29, 2021",7:00p,,Box Score,,New York Knicks,L,,85,94,5,28,L 4,
34,34,"Sat, Jan 1, 2022",7:00p,,Box Score,,San Antonio Spurs,W,OT,117,116,6,28,W 1,
35,35,"Mon, Jan 3, 2022",8:00p,,Box Score,@,Milwaukee Bucks,W,,115,106,7,28,W 2,
36,36,"Wed, Jan 5, 2022",7:00p,,Box Score,@,Charlotte Hornets,L,,111,140,7,29,L 1,
37,37,"Thu, Jan 6, 2022",8:00p,,Box Score,@,Memphis Grizzlies,L,,88,118,7,30,L 2,
38,38,"Sat, Jan 8, 2022",7:00p,,Box Score,,Orlando Magic,W,,97,92,8,30,W 1,
39,39,"Mon, Jan 10, 2022",7:00p,,Box Score,,Utah Jazz,W,,126,116,9,30,W 2,
40,40,"Tue, Jan 11, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,87,133,9,31,L 1,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Fri, Jan 14, 2022",7:00p,,Box Score,,Toronto Raptors,W,,103,87,10,31,W 1,
43,42,"Sun, Jan 16, 2022",1:00p,,Box Score,,Phoenix Suns,L,,108,135,10,32,L 1,
44,43,"Tue, Jan 18, 2022",10:00p,,Box Score,@,Golden State Warriors,L,,86,102,10,33,L 2,
45,44,"Wed, Jan 19, 2022",10:00p,,Box Score,@,Sacramento Kings,W,,133,131,11,33,W 1,
46,45,"Fri, Jan 21, 2022",9:00p,,Box Score,@,Utah Jazz,L,,101,111,11,34,L 1,
47,46,"Sun, Jan 23, 2022",8:00p,,Box Score,@,Denver Nuggets,L,,111,117,11,35,L 2,
